Module                  Size  Used by
snd_soc_acpi           16384  3 snd_sof_amd_acp,snd_acp_config,snd_pci_ps
i2c_piix4              36864  0
sparse_keymap          12288  1 hp_wmi
cryptd                 28672  3 crypto_simd,ghash_clmulni_intel
bluetooth            1101824  34 btrtl,btmtk,btintel,btbcm,bnep,btusb,rfcomm
hid_generic            12288  0
mc                     90112  4 videodev,videobuf2_v4l2,uvcvideo,videobuf2_common
rapl                   20480  0
pcspkr                 12288  0
wmi_bmof               12288  0
typec                 110592  1 typec_ucsi
rfkill                 40960  9 hp_wmi,rtw89_core,bluetooth,cfg80211
ccp                   184320  1 kvm_amd
soundcore              16384  2 snd_ctl_led,snd
snd_pci_acp3x          20480  0
amd_sfh                53248  0
k10temp                16384  0
i2c_smbus              20480  1 i2c_piix4
roles                  16384  1 typec_ucsi
i2c_hid_acpi           12288  0
i2c_hid                45056  1 i2c_hid_acpi
amd_pmc                57344  0
acpi_tad               20480  0
mac_hid                12288  0
vboxnetflt             40960  0
vboxnetadp             32768  0
vboxdrv               671744  2 vboxnetadp,vboxnetflt
i2c_dev                28672  0
sg                     53248  0
crypto_user            20480  0
loop                   45056  16
dm_mod                229376  0
nfnetlink              20480  1
ip_tables              36864  0
x_tables               65536  1 ip_tables
amdgpu              15454208  44
btrfs                2170880  1
blake2b_generic        20480  0
libcrc32c              12288  1 btrfs
crc32c_generic         12288  0
crc16                  12288  2 bluetooth,amdgpu
xor                    20480  1 btrfs
amdxcp                 12288  1 amdgpu
i2c_algo_bit           24576  1 amdgpu
raid6_pq              122880  1 btrfs
drm_ttm_helper         16384  2 amdgpu
ttm                   102400  2 amdgpu,drm_ttm_helper
serio_raw              20480  0
drm_exec               12288  1 amdgpu
atkbd                  40960  0
rtsx_pci_sdmmc         36864  0
gpu_sched              65536  1 amdgpu
libps2                 20480  1 atkbd
mmc_core              270336  1 rtsx_pci_sdmmc
vivaldi_fmap           12288  1 atkbd
drm_suballoc_helper    12288  1 amdgpu
drm_buddy              24576  1 amdgpu
nvme                   65536  2
crc32c_intel           16384  2
sha256_ssse3           36864  0
drm_display_helper    266240  1 amdgpu
nvme_core             258048  3 nvme
video                  81920  1 amdgpu
i8042                  57344  0
rtsx_pci              139264  1 rtsx_pci_sdmmc
cec                    90112  1 drm_display_helper
nvme_auth              24576  1 nvme_core
serio                  28672  5 amd_pmc,serio_raw,atkbd,i8042
wmi                    28672  3 hp_wmi,video,wmi_bmof
