Module                  Size  Used by
drm_buddy              24576  2 xe,i915
ttm                   102400  3 drm_ttm_helper,xe,i915
nvme                   65536  2
intel_gtt              28672  1 i915
drm_display_helper    266240  2 xe,i915
nvme_core             258048  3 nvme
sha256_ssse3           36864  0
video                  81920  2 xe,i915
spi_intel_pci          12288  0
cec                    90112  3 drm_display_helper,xe,i915
nvme_auth              24576  1 nvme_core
spi_intel              36864  1 spi_intel_pci
wmi                    28672  2 video,wmi_bmof
crc32c_intel           16384  2
